LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, Failed
Language_1, Failed
Language_2, TimeOut
Language_3, Failed
Language_4, 0.015685625, 12, 7, 28, 38, 22
Language_5, TimeOut
Language_6, Failed
Language_7, TimeOut
Language_8, Failed
Language_9, Failed
Language_10, Cancelled
Language_11, 0.003316875, 13, 8, 21, 23, 16
Language_12, TimeOut
Language_13, Failed
Language_14, Failed
Language_15, TimeOut
Language_16, Failed
Language_17, Failed
Language_18, TimeOut
Language_19, Failed
Language_20, TimeOut
Language_21, 0.005133542, 11, 6, 24, 39, 20
Language_22, Failed
Language_23, 0.001964, 6, 6, 15, 13, 13
Language_24, TimeOut
Language_25, Failed
Language_26, 0.012631291, 9, 7, 22, 27, 18
Language_27, Failed
Language_28, TimeOut
Language_29, Failed
Language_30, TimeOut
Language_31, Failed
Language_32, Failed
Language_33, Failed
Language_34, Failed
Language_35, Failed
Language_36, TimeOut
Language_37, Failed
Language_38, Failed
Language_39, 0.009205791, 17, 14, 31, 34, 22
Language_40, Failed
Language_41, Failed
Language_42, 0.003780875, 8, 5, 21, 28, 16
Language_43, TimeOut
Language_43, 300.488179458, 1875, 153, 1353, 1293, 264
Language_44, TimeOut
Language_45, TimeOut
Language_46, Failed
Language_47, Failed
Language_48, TimeOut
Language_49, 0.0027495, 10, 8, 23, 21, 15
Language_50, Failed
Language_51, 0.021414625, 24, 11, 37, 47, 22
Language_52, TimeOut
Language_53, Failed
Language_54, Failed
Language_55, TimeOut
Language_56, Failed
Language_57, Failed
Language_58, 0.01562125, 15, 14, 38, 59, 24
Language_59, 0.003876583, 13, 7, 25, 19, 18
Language_60, 0.008308166, 18, 11, 35, 33, 22
Language_61, Failed
Language_62, Failed
Language_63, Failed
Language_64, TimeOut
Language_65, TimeOut
Language_66, Failed
Language_67, TimeOut
Language_68, Failed
Language_69, Failed
Language_70, TimeOut
Language_71, Failed
Language_72, TimeOut
Language_73, TimeOut
Language_74, TimeOut
Language_75, TimeOut
Language_76, Failed
Language_77, 0.002710625, 9, 6, 21, 16, 17
Language_78, Failed
Language_79, TimeOut
Language_80, TimeOut
Language_81, Failed
Language_82, Failed
Language_83, TimeOut
Language_84, Failed
Language_85, 0.007095458, 13, 10, 23, 44, 16
Language_86, TimeOut
Language_87, Failed
Language_88, Failed
Language_89, Failed
Language_90, 0.001861292, 9, 5, 17, 15, 16
Language_91, Failed
Language_92, TimeOut
Language_93, TimeOut
Language_94, 5.631967917, 9, 7, 21, 14, 17
Language_95, Failed
Language_96, Failed
Language_97, Failed
Language_98, TimeOut
Language_99, 0.003264083, 11, 7, 28, 21, 23

, 17.013266, 115.666664, 16.222221, 99.05556, 99.111115, 32.27778, 18
