LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, TimeOut
Language_1, Failed
Language_2, Cancelled
Language_3, TimeOut
Language_4, Failed
Language_5, Failed
Language_6, TimeOut
Language_7, Failed
Language_8, TimeOut
Language_9, Failed
Language_10, Failed
Language_11, TimeOut
Language_12, Failed
Language_13, 0.004379416, 8, 8, 26, 20, 19
Language_14, Failed
Language_15, TimeOut
Language_16, TimeOut
Language_17, Failed
Language_18, TimeOut
Language_19, TimeOut
Language_20, TimeOut
Language_21, TimeOut
Language_22, Failed
Language_23, TimeOut
Language_24, TimeOut
Language_25, Failed
Language_26, TimeOut
Language_27, Failed
Language_28, 0.009732083, 16, 8, 37, 39, 29
Language_29, Failed
Language_30, Failed
Language_31, Failed
Language_32, TimeOut
Language_33, Failed
Language_34, TimeOut
Language_35, TimeOut
Language_36, TimeOut
Language_37, Failed
Language_38, 0.0010295, 7, 5, 14, 6, 10
Language_39, Failed
Language_40, TimeOut
Language_41, TimeOut
Language_42, TimeOut
Language_42, 303.318386292, 596, 83, 719, 1836, 273
Language_43, TimeOut
Language_44, Failed
Language_45, TimeOut
Language_46, Failed
Language_47, Cancelled
Language_48, Failed
Language_49, Failed
Language_50, TimeOut
Language_51, Failed
Language_52, TimeOut
Language_53, TimeOut
Language_54, Failed
Language_55, Failed
Language_56, TimeOut
Language_57, Failed
Language_58, Cancelled
Language_59, Failed
Language_60, Failed
Language_61, 0.021343083, 18, 9, 40, 46, 27
Language_62, TimeOut
Language_63, TimeOut
Language_64, TimeOut
Language_65, TimeOut
Language_66, TimeOut
Language_67, 0.006997875, 14, 8, 30, 33, 23
Language_68, Failed
Language_69, Failed
Language_70, 0.002378625, 6, 4, 19, 16, 19
Language_71, TimeOut
Language_72, TimeOut
Language_73, Failed
Language_74, TimeOut
Language_75, Failed
Language_76, Failed
Language_77, TimeOut
Language_78, Failed
Language_79, Cancelled
Language_80, Failed
Language_81, TimeOut
Language_82, Failed
Language_83, TimeOut
Language_84, Failed
Language_85, TimeOut
Language_86, 0.008379625, 13, 8, 35, 41, 23
Language_87, Cancelled
Language_88, TimeOut
Language_89, TimeOut
Language_90, Failed
Language_91, Failed
Language_92, TimeOut
Language_93, TimeOut
Language_94, Failed
Language_95, Failed
Language_96, 0.013146125, 17, 10, 39, 45, 30
Language_97, Cancelled
Language_98, TimeOut
Language_99, Failed

, 33.70953, 77.22222, 15.888889, 106.55556, 231.33333, 50.333332, 9
