LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States,
Language_0, Failed,,,,,,
Language_1, TimeOut,,,,,,
Language_2,1.404016166,3,0,10,11,9,
Language_3, TimeOut,,,,,,
Language_4, Failed,,,,,,
Language_5, Cancelled,,,,,,
Language_6, Failed,,,,,,
Language_7, TimeOut,,,,,,
Language_7,300.469966042,209,35,308,1346,72,
Language_8, TimeOut,,,,,,
Language_9, Failed,,,,,,
Language_10, Failed,,,,,,
Language_11,0.016032375,10,4,15,18,10,
Language_12, TimeOut,,,,,,
Language_13, TimeOut,,,,,,
Language_14, TimeOut,,,,,,
Language_15, TimeOut,,,,,,
Language_16, TimeOut,,,,,,
Language_17, TimeOut,,,,,,
Language_18, Failed,,,,,,
Language_19,0.002168625,7,5,12,13,9,
Language_20, TimeOut,,,,,,
Language_21, Failed,,,,,,
Language_22, Failed,,,,,,
Language_23, TimeOut,,,,,,
Language_24, TimeOut,,,,,,
Language_25, Failed,,,,,,
Language_26,0.009627041,11,5,24,37,19,
Language_27, TimeOut,,,,,,
Language_28, Failed,,,,,,
Language_29, TimeOut,,,,,,
Language_30, Cancelled,,,,,,
Language_31, Failed,,,,,,
Language_32, TimeOut,,,,,,
Language_33,10.727905,10,6,18,21,12,
Language_34, Failed,,,,,,
Language_35, TimeOut,,,,,,
Language_36, Failed,,,,,,
Language_37, Failed,,,,,,
Language_38, Failed,,,,,,
Language_39, Failed,,,,,,
Language_40, TimeOut,,,,,,
Language_41, TimeOut,,,,,,
Language_42, Failed,,,,,,
Language_43, TimeOut,,,,,,
Language_44, Failed,,,,,,
Language_45, TimeOut,,,,,,
Language_46, Failed,,,,,,
Language_47, TimeOut,,,,,,
Language_47,300.010561208,2954,102,1617,749,296,
Language_48,0.030280292,8,3,13,18,11,
Language_49, Failed,,,,,,
Language_50, Failed,,,,,,
Language_51, TimeOut,,,,,,
Language_52, TimeOut,,,,,,
Language_53, Failed,,,,,,
Language_54, Failed,,,,,,
Language_55, Failed,,,,,,
Language_56, Cancelled,,,,,,
Language_57, Failed,,,,,,
Language_58, Failed,,,,,,
Language_59, TimeOut,,,,,,
Language_60, Failed,,,,,,
Language_61, Failed,,,,,,
Language_62, Failed,,,,,,
Language_63, Failed,,,,,,
Language_64,0.269753083,13,6,19,23,13,
Language_65, Failed,,,,,,
Language_66, Failed,,,,,,
Language_67, Failed,,,,,,
Language_68, Failed,,,,,,
Language_69, Failed,,,,,,
Language_70, Failed,,,,,,
Language_71, Failed,,,,,,
Language_72,0.087811708,16,10,32,70,21,
Language_73, Failed,,,,,,
Language_74, Failed,,,,,,
Language_75, Failed,,,,,,
Language_76, Failed,,,,,,
Language_77, Failed,,,,,,
Language_78, Failed,,,,,,
Language_79, Failed,,,,,,
Language_80, Failed,,,,,,
Language_81, Failed,,,,,,
Language_82,0.010448,10,7,19,21,16,
Language_83, Failed,,,,,,
Language_84, Failed,,,,,,
Language_85, Failed,,,,,,
Language_86, Failed,,,,,,
Language_87, Failed,,,,,,
Language_88, Failed,,,,,,
Language_89,0.084375917,18,11,33,59,17,
Language_90, Failed,,,,,,
Language_91, Failed,,,,,,
Language_92, Failed,,,,,,
Language_93, Failed,,,,,,
Language_94, Failed,,,,,,
Language_95, Failed,,,,,,
Language_96, Failed,,,,,,
Language_97, Failed,,,,,,
Language_98, Failed,,,,,,
Language_99, Failed,,,,,,
,,,,,,,
,51.093578788,272.4166667,16.166667,176.66667,198.833333,42.0833333,12
