LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.236873791, 7, 3, 11, 11, 7
Language_1, Failed
Language_2, Failed
Language_3, Failed
Language_4, Failed
Language_5, Cancelled
Language_6, Failed
Language_7, Failed
Language_8, Failed
Language_9, Failed
Language_10, Failed
Language_11, Failed
Language_12, 0.007775791, 8, 5, 14, 22, 11
Language_13, 0.974467666, 23, 11, 29, 45, 21
Language_14, TimeOut
Language_15, Failed
Language_16, TimeOut
Language_17, Failed
Language_18, Failed
Language_19, Failed
Language_20, TimeOut
Language_21, Failed
Language_22, TimeOut
Language_23, Failed
Language_24, Failed
Language_25, Failed
Language_26, TimeOut
Language_27, Failed
Language_28, Failed
Language_29, Failed
Language_30, Failed
Language_31, Failed
Language_32, Failed
Language_33, Failed
Language_34, Failed
Language_35, Failed
Language_36, 0.032206875, 5, 5, 11, 9, 7
Language_37, 0.054430542, 7, 5, 12, 10, 8
Language_38, TimeOut
Language_39, Failed
Language_40, TimeOut
Language_41, Failed
Language_42, Failed
Language_43, Failed
Language_44, 1.470418917, 23, 10, 30, 32, 21
Language_45, Failed
Language_46, Failed
Language_47, Failed
Language_48, Failed
Language_49, 0.019471208, 6, 5, 12, 13, 7
Language_50, Failed
Language_51, 1.5052995, 24, 10, 37, 64, 21
Language_52, Failed
Language_53, Failed
Language_54, TimeOut
Language_55, Failed
Language_56, TimeOut
Language_57, Failed
Language_58, Failed
Language_59, 0.028632958, 5, 3, 9, 8, 7
Language_60, Failed
Language_61, Failed
Language_62, Failed
Language_63, Failed
Language_64, 0.080276375, 8, 4, 14, 9, 8
Language_65, Failed
Language_66, Failed
Language_67, TimeOut
Language_68, Failed
Language_69, Failed
Language_70, Failed
Language_71, 0.340740292, 15, 7, 28, 46, 14
Language_72, TimeOut
Language_73, Failed
Language_74, Failed
Language_75, Failed
Language_76, Failed
Language_77, Failed
Language_78, 0.003932959, 10, 5, 13, 18, 8
Language_79, Failed
Language_80, TimeOut
Language_81, Failed
Language_82, TimeOut
Language_83, Failed
Language_84, Failed
Language_85, Failed
Language_86, TimeOut
Language_87, TimeOut
Language_88, Failed
Language_89, Failed
Language_90, Failed
Language_91, Failed
Language_92, Failed
Language_93, 0.042395334, 9, 4, 15, 10, 8
Language_94, Failed
Language_95, Failed
Language_96, Failed
Language_97, Failed
Language_98, Failed
Language_99, Failed

, 0.36899403, 11.538462, 5.923077, 18.076923, 22.846153, 11.384615, 13
