Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 130.31958603858948, 4, 4, 35, 4, 14, 122.59467697143555, 30.648669242858887, 3.3333333333333335, 7.674964189529419, 2.5937180519104004
Language_1, SAT Failed
Language_2, 220.5925760269165, 6, 6, 52, 3, 14, 212.69528603553772, 35.44921433925629, 4.2, 7.841368913650513, 1.8080089092254639
Language_3, 87.60134315490723, 3, 4, 31, 2, 14, 83.56505036354065, 27.855016787846882, 3.5, 4.02359676361084, 1.8247549533843994
Language_4, 118.09972286224365, 3, 5, 34, 3, 14, 113.80626058578491, 37.935420195261635, 4.5, 4.273041725158691, 2.0769717693328857
Language_5, SAT Failed
Language_6, 111.78242492675781, 3, 5, 28, 3, 14, 107.94652390480042, 35.98217463493347, 4.5, 3.8217601776123047, 1.6161253452301025
Language_7, 95.9581949710846, 3, 3, 30, 4, 14, 92.05081272125244, 30.68360424041748, 3.0, 3.883450508117676, 1.6792151927947998
Language_8, SAT Failed
Language_9, SAT Failed
Language_10, SAT Failed
Language_11, SAT Failed
Language_12, SAT Failed
Language_13, SAT Failed
Language_14, SAT Failed
Language_15, SAT Failed
Language_16, SAT Failed
Language_17, SAT Failed
Language_18, SAT Failed
Language_19, 54.360223054885864, 4, 5, 42, 4, 14, 49.279744386672974, 12.319936096668243, 4.0, 5.041006803512573, 1.7386229038238525
Language_20, 215.12266898155212, 2, 2, 31, 2, 14, 211.9989137649536, 105.9994568824768, 2.0, 3.112800121307373, 1.9981350898742676
Language_21, SAT Failed
Language_22, 230.82864785194397, 5, 5, 54, 5, 14, 224.24907755851746, 44.84981551170349, 3.75, 6.5035340785980225, 2.0808780193328857
Language_23, 262.61498618125916, 5, 4, 52, 4, 14, 255.93707251548767, 51.187414503097536, 3.75, 6.620498895645142, 2.2081589698791504
Language_24, SAT Failed
Language_25, SAT Failed
Language_26, SAT Failed
Language_27, SAT Failed
Language_28, SAT Failed
Language_29, SAT Failed
Language_30, SAT Failed
Language_31, SAT Failed
Language_32, 123.21172308921814, 3, 3, 32, 3, 14, 119.18766283988953, 39.729220946629844, 3.0, 4.007260322570801, 1.8021700382232666
Language_33, 107.20460629463196, 3, 3, 34, 2, 14, 103.1802921295166, 34.39343070983887, 3.0, 4.0099780559539795, 1.813080072402954
Language_34, SAT Failed
Language_35, SAT Failed
Language_36, SAT Failed
Language_37, SAT Failed
Language_38, 97.99549174308777, 3, 4, 34, 3, 14, 93.97716927528381, 31.325723091761272, 3.5, 3.9969818592071533, 1.7790448665618896
Language_39, SAT Failed
Language_40, 282.4752790927887, 4, 4, 43, 3, 14, 277.14212703704834, 69.28553175926208, 3.6666666666666665, 5.293807744979858, 1.9835798740386963
Language_41, 70.09734106063843, 2, 3, 28, 2, 14, 67.17654490470886, 33.58827245235443, 3.0, 2.911644458770752, 1.8154828548431396
Language_42, SAT Failed
Language_43, 130.18314504623413, 2, 3, 29, 2, 14, 126.58686900138855, 63.293434500694275, 3.0, 3.5860092639923096, 2.483781099319458
Language_44, SAT Failed
