Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 17.55885410308838, 3, 8, 25, 2, 11, 14.02527117729187, 4.675090392430623, 5.5, 3.520677328109741, 1.2419493198394775
Language_1, 26.221352100372314, 2, 4, 29, 2, 11, 23.595651149749756, 11.797825574874878, 4.0, 2.616093873977661, 1.420365810394287
Language_2, 12.283527851104736, 2, 4, 25, 1, 11, 9.84865117073059, 4.924325585365295, 4.0, 2.428485155105591, 1.3245809078216553
Language_3, 7.54952597618103, 2, 3, 24, 2, 11, 5.10805869102478, 2.55402934551239, 3.0, 2.4331860542297363, 1.3209259510040283
Language_4, 12.874985933303833, 4, 4, 25, 4, 11, 8.366503238677979, 2.0916258096694946, 3.6666666666666665, 4.482063055038452, 1.1732521057128906
Language_5, 8.59588623046875, 3, 3, 23, 3, 11, 5.167793035507202, 1.7225976785024006, 3.0, 3.411766767501831, 1.2086210250854492
Language_6, 16.081645727157593, 3, 4, 28, 3, 11, 12.579780101776123, 4.193260033925374, 3.5, 3.4863600730895996, 1.2869110107421875
Language_7, 7.765955924987793, 2, 3, 23, 2, 11, 5.381769895553589, 2.6908849477767944, 3.0, 2.3757131099700928, 1.2729690074920654
Language_8, 11.168370008468628, 3, 4, 26, 3, 11, 7.712397813796997, 2.5707992712656655, 3.5, 3.4386813640594482, 1.2435731887817383
Language_9, 9.998318910598755, 3, 3, 25, 3, 11, 6.530092239379883, 2.1766974131266275, 3.0, 3.4535419940948486, 1.2503700256347656
Language_10, 8.74246072769165, 2, 2, 22, 2, 11, 6.3174519538879395, 3.1587259769439697, 2.0, 2.4169952869415283, 1.3207931518554688
Language_11, 9.155696153640747, 2, 3, 22, 2, 11, 6.459089040756226, 3.229544520378113, 3.0, 2.6894876956939697, 1.3578259944915771
Language_12, 12.367236852645874, 2, 4, 25, 1, 11, 9.845087051391602, 4.922543525695801, 4.0, 2.515765905380249, 1.365556001663208
Language_13, 45.53704500198364, 5, 4, 48, 2, 11, 39.47507953643799, 7.895015907287598, 3.75, 6.026780128479004, 1.3872730731964111
Language_14, 10.48403787612915, 3, 4, 28, 3, 11, 6.880720138549805, 2.2935733795166016, 3.5, 3.5872628688812256, 1.2950999736785889
Language_15, 12.775063037872314, 4, 4, 24, 4, 11, 8.228014707565308, 2.057003676891327, 3.6666666666666665, 4.524840831756592, 1.2026050090789795
Language_16, 28.169859170913696, 3, 4, 39, 2, 11, 24.478732347488403, 8.159577449162802, 3.5, 3.673748016357422, 1.406207799911499
Language_17, 8.863132953643799, 2, 3, 24, 3, 11, 6.4120776653289795, 3.2060388326644897, 3.0, 2.439955234527588, 1.3313000202178955
Language_18, 15.414684057235718, 4, 5, 27, 3, 11, 10.57223105430603, 2.6430577635765076, 4.0, 4.822640895843506, 1.2333009243011475
Language_19, 9.389094114303589, 2, 2, 21, 2, 11, 6.9548399448394775, 3.4774199724197388, 2.0, 2.4281880855560303, 1.3010821342468262
Language_20, 14.620289087295532, 3, 4, 23, 3, 11, 11.08769416809082, 3.6958980560302734, 3.5, 3.519666910171509, 1.2682418823242188
Language_21, 16.45654296875, 5, 5, 33, 5, 11, 10.676196575164795, 2.135239315032959, 4.25, 5.7302916049957275, 1.2362408638000488
Language_22, 29.754013061523438, 4, 5, 38, 3, 11, 24.994215965270996, 6.248553991317749, 4.333333333333333, 4.727610111236572, 1.3360919952392578
Language_23, 23.752867221832275, 5, 7, 35, 2, 11, 17.989709854125977, 3.5979419708251954, 4.25, 5.734399080276489, 1.3230552673339844
Language_24, 14.998703002929688, 2, 4, 27, 2, 11, 12.512418270111084, 6.256209135055542, 4.0, 2.4754951000213623, 1.3673760890960693
Language_25, 10.516659021377563, 2, 4, 24, 2, 11, 8.114139080047607, 4.057069540023804, 4.0, 2.3938119411468506, 1.2953522205352783
Language_26, 14.360764026641846, 4, 4, 29, 4, 11, 9.738068103790283, 2.434517025947571, 3.0, 4.595466375350952, 1.2634670734405518
Language_27, 40.226699113845825, 2, 4, 29, 2, 11, 37.70013618469238, 18.85006809234619, 4.0, 2.514017105102539, 1.410578966140747
Language_28, 8.410897254943848, 2, 2, 22, 2, 11, 6.023816823959351, 3.0119084119796753, 2.0, 2.3792450428009033, 1.278644323348999
Language_29, 95.71075582504272, 5, 4, 53, 2, 11, 89.90033078193665, 17.98006615638733, 3.5, 5.772374391555786, 1.3592991828918457
Language_30, 21.05661106109619, 2, 3, 24, 2, 11, 18.462146759033203, 9.231073379516602, 3.0, 2.5870630741119385, 1.4876899719238281
Language_31, 10.937533855438232, 2, 3, 25, 2, 11, 8.497870206832886, 4.248935103416443, 3.0, 2.4322988986968994, 1.3311259746551514
Language_32, 100.09236598014832, 2, 3, 27, 2, 11, 97.47656393051147, 48.73828196525574, 3.0, 2.6054890155792236, 1.3778510093688965
Language_33, 8.575100183486938, 2, 3, 23, 2, 11, 6.191579818725586, 3.095789909362793, 3.0, 2.375234842300415, 1.2756669521331787
Language_34, 23.494445085525513, 4, 5, 35, 2, 11, 18.88562798500061, 4.721406996250153, 4.0, 4.585327386856079, 1.280806303024292
Language_35, 10.231905221939087, 3, 4, 30, 3, 11, 6.738501787185669, 2.246167262395223, 3.5, 3.4750969409942627, 1.2754387855529785
Language_36, 13.611021995544434, 2, 5, 27, 1, 11, 11.139617204666138, 5.569808602333069, 5.0, 2.463735818862915, 1.3574578762054443
Language_37, 9.59082317352295, 3, 4, 23, 3, 11, 6.171769618988037, 2.057256539662679, 4.0, 3.4054317474365234, 1.2064409255981445
Language_38, 226.75528597831726, 6, 6, 77, 1, 11, 219.37307953834534, 36.562179923057556, 5.0, 7.31206488609314, 1.5709528923034668
