Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length,,
Language_0,175.29038000106800,7,7,63,3,11,175.12153601646400,25.01736228806630,5.0,,
Language_1,69.733225107193,5,10,59,2,11,69.48970580101010,13.897941160202000,6.5,,
Language_2,98.61664724349980,6,6,68,3,11,98.31771206855770,16.386285344759600,5.2,,
Language_3,10.604574918746900,3,6,36,3,11,10.274890422821000,3.4249634742736800,4.5,,
Language_4,79.95692276954650,4,5,48,2,11,79.62298488616940,19.90574622154240,4.0,,
Language_5,11.53022313117980,3,6,39,4,11,11.206201076507600,3.735400358835860,4.5,,
Language_6,57.475810050964400,2,3,26,3,11,57.21837878227230,28.60918939113620,3.0,,
Language_7,11.418491125106800,3,6,33,2,10,11.146600246429400,3.715533415476480,4.5,,
Language_8,61.61786389350890,6,12,67,2,11,61.33499240875240,10.222498734792100,6.2,,
Language_9,120.88461208343500,3,12,37,2,11,120.7227532863620,40.24091776212060,8.5,,
Language_10,14.404561042785600,4,9,44,3,10,14.177021741867100,3.5442554354667700,5.666666666666670,,
Language_11,23.170094966888400,4,6,50,3,11,22.78120517730710,5.695301294326780,5.0,,
Language_12,16.905627727508500,4,6,46,2,10,16.681152820587200,4.1702882051467900,4.333333333333330,,
Language_13,8.333335161209110,3,8,20,3,9,8.328168869018560,2.7760562896728500,5.0,,
Language_14,24.706313848495500,2,5,25,2,11,24.587129592895500,12.293564796447800,5.0,,
Language_15,69.62486600875850,7,7,82,2,11,69.26165819168090,9.894522598811560,5.333333333333330,,
Language_16, SAT Failed,,,,,,,,,,
Language_17,26.72723627090450,3,6,36,2,11,26.40900444984440,8.803001483281450,4.5,,
Language_18,61.15565800666810,5,11,64,2,11,60.8042528629303,12.16085057258610,6.5,,
Language_19,10.373048067092900,3,9,34,2,10,10.195781946182300,3.3985939820607500,6.0,,
Language_20,131.21914315223700,4,7,51,2,11,130.89201426506000,32.723003566265100,5.0,,
Language_21,68.4553849697113,5,12,71,2,11,68.02620100975040,13.605240201950100,6.25,,
Language_22,18.087523221969600,5,8,62,3,10,17.78880214691160,3.5577604293823200,5.25,,
Language_23,15.639777898788500,7,9,76,3,10,15.330029249191300,2.1900041784559000,5.166666666666670,,
Language_24,9.527813911437990,4,4,40,3,10,9.348184585571290,2.3370461463928200,3.6666666666666700,,
Language_25,17.275020122528100,3,4,38,3,11,17.056785106658900,5.6855950355529800,4.0,,
Language_26,6.500202894210820,4,8,39,3,9,6.403153896331790,1.6007884740829500,5.666666666666670,,
Language_27,24.67698383331300,5,10,62,3,11,24.391361713409400,4.878272342681890,7.5,,
Language_28,28.017773628234900,3,6,33,2,11,27.811041116714500,9.270347038904830,4.0,,
Language_29,52.48875904083250,4,8,50,3,11,52.153942346572900,13.038485586643200,5.666666666666670,,
Language_30,18.43432903289800,3,4,32,2,11,18.31299376487730,6.1043312549591100,4.0,,
Language_31,6.053756237030030,3,9,27,4,10,6.0198986530304000,2.0066328843434700,6.0,,
Language_32,35.483261823654200,6,9,64,2,11,35.3025803565979,5.883763392766320,6.4,,
Language_33,76.76241707801820,9,8,98,3,11,76.42208909988400,8.491343233320450,5.125,,
Language_34,5.092178821563720,2,3,25,2,10,4.867543697357180,2.433771848678590,3.0,,
Language_35,28.40339708328250,4,7,44,2,11,28.069945335388200,7.017486333847050,5.666666666666670,,
Language_36,18.29609704017640,4,5,39,4,10,18.177538633346600,4.544384658336640,4.333333333333330,,
Language_37,254.28793501853900,5,10,49,2,11,254.1060848236080,50.82121696472170,5.5,,
Language_38,17.349947929382300,4,6,45,2,10,17.172994375228900,4.2932485938072200,5.0,,
Language_39,211.86533117294300,3,5,28,4,11,211.45497035980200,70.48499011993410,4.5,,
Language_40,7.906929969787600,4,7,49,2,10,7.629437208175660,1.9073593020439100,4.666666666666670,,
Language_41,48.37435293197630,5,13,59,2,11,48.042418003082300,9.608483600616460,6.75,,
Language_42,47.816275119781500,3,8,29,3,11,47.755682706832900,15.918560902277600,6.5,,
Language_43,53.96151089668270,6,7,69,4,11,53.653122425079300,8.942187070846560,4.6,,
Language_44,19.417195081710800,5,8,64,3,11,19.063952684402500,3.812790536880490,5.5,,
Language_45,12.790167808532700,3,9,41,2,11,12.468613862991300,4.156204620997110,6.5,,
Language_46,75.90780472755430,5,9,55,3,11,75.67792105674740,15.135584211349500,7.0,,
Language_47,54.76496410369870,2,5,29,2,11,54.42211675643920,27.211058378219600,5.0,,
Language_48,60.91001796722410,6,11,86,3,11,60.47956442832950,10.079927404721600,7.2,,
Language_49,178.77981686592100,5,9,65,4,11,178.33759903907800,35.66751980781560,6.25,,
Language_50,14.722377061843900,5,8,58,2,10,14.523968696594200,2.9047937393188500,4.5,,
Language_51, SAT Failed,,,,,,,,,,
Language_52,32.54682183265690,7,9,52,3,10,32.41866397857670,4.631237711225240,7.0,,
Language_53,16.134517908096300,6,8,65,2,10,15.840029001236000,2.640004833539330,7.0,,
Language_54,9.660054922103880,4,6,47,2,9,9.50562071800232,2.37640517950058,4.666666666666670,,
Language_55, SAT Failed,,,,,,,,,,
Language_56,98.34630823135380,4,8,47,2,11,98.21172714233400,24.552931785583500,6.0,,
Language_57,35.69192600250240,6,10,68,4,11,35.30657458305360,5.884429097175600,6.2,,
Language_58,41.75842308998110,3,6,39,3,11,41.36025619506840,13.786752065022800,4.5,,
Language_59,47.28910994529720,2,5,30,2,11,46.891928911209100,23.445964455604600,5.0,,
Language_60,9.23122787475586,3,10,34,2,9,9.082701206207280,3.0275670687357600,7.0,,
Language_61,7.458805084228520,3,4,32,2,10,7.244175910949710,2.4147253036499000,4.0,,
Language_62,31.02780795097350,2,2,30,2,11,30.703551054000900,15.351775527000400,2.0,,
Language_63,94.94499468803410,5,6,71,3,11,94.5226662158966,18.904533243179300,5.5,,
Language_64,19.344916105270400,4,14,46,3,10,19.017590761184700,4.754397690296170,8.0,,
Language_65,119.10041785240200,4,6,43,3,11,118.92462801933300,29.73115700483320,5.0,,
Language_66,106.35844492912300,4,9,41,3,11,105.87865805625900,26.46966451406480,7.333333333333330,,
Language_67,55.05949902534490,4,8,44,2,11,54.79371666908260,13.69842916727070,5.0,,
Language_68,177.69561910629300,6,7,57,3,10,177.4599723815920,29.576662063598600,4.4,,
Language_69, SAT Failed,,,,,,,,,,
Language_70,20.432224988937400,3,5,38,3,11,20.173245191574100,6.724415063858030,5.0,,
Language_71,8.570406913757320,3,8,38,3,10,8.290055751800540,2.7633519172668500,6.0,,
Language_72,169.87803292274500,5,10,55,3,11,169.40355324745200,33.880710649490400,6.5,,
