Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 2.3229000568389893, 2, 4, 11, 1, 4, 2.3209617137908936, 1.1604808568954468, 4.0
Language_1, 3.433816909790039, 3, 5, 10, 1, 4, 3.432871103286743, 1.1442903677622478, 4.5
Language_2, 4.692047119140625, 4, 10, 21, 2, 4, 4.687042236328125, 1.1717605590820312, 6.666666666666667
Language_3, 2.296142101287842, 2, 5, 12, 1, 4, 2.294351816177368, 1.147175908088684, 5.0
Language_4, 3.439101219177246, 3, 4, 8, 1, 4, 3.438347101211548, 1.1461157004038494, 3.0
Language_5, 2.3101346492767334, 2, 3, 12, 1, 4, 2.3080320358276367, 1.1540160179138184, 3.0
Language_6, 1.1401538848876953, 1, 0, 7, 1, 4, 1.1393787860870361, 1.1393787860870361, 0
Language_7, 3.434429168701172, 3, 5, 11, 2, 4, 3.4328460693359375, 1.1442820231119792, 4.5
Language_8, 3.4688501358032227, 3, 4, 9, 2, 4, 3.4669275283813477, 1.1556425094604492, 4.0
Language_9, 1.1451220512390137, 1, 0, 4, 1, 3, 1.1444728374481201, 1.1444728374481201, 0
Language_10, 3.435793876647949, 3, 4, 11, 2, 4, 3.433758020401001, 1.1445860068003337, 3.5
Language_11, 2.294266939163208, 2, 2, 9, 2, 4, 2.292827844619751, 1.1464139223098755, 2.0
Language_12, 3.4583938121795654, 3, 4, 12, 3, 4, 3.4557039737701416, 1.1519013245900471, 3.5
Language_13, 3.427596092224121, 3, 4, 13, 1, 4, 3.4252312183380127, 1.1417437394460042, 3.0
Language_14, 1.181821346282959, 1, 0, 7, 1, 4, 1.181042194366455, 1.181042194366455, 0
Language_15, 5.8046770095825195, 5, 9, 24, 2, 4, 5.798147678375244, 1.1596295356750488, 5.25
Language_16, 2.2890548706054688, 2, 5, 11, 1, 4, 2.286978006362915, 1.1434890031814575, 5.0
Language_17, 2.3122241497039795, 2, 4, 13, 1, 4, 2.310495376586914, 1.155247688293457, 4.0
Language_18, 2.318481922149658, 2, 3, 11, 2, 4, 2.315922975540161, 1.1579614877700806, 3.0
Language_19, 5.8701817989349365, 5, 7, 31, 2, 4, 5.858833312988281, 1.1717666625976562, 5.25
Language_20, 2.282973289489746, 2, 3, 8, 1, 4, 2.2818448543548584, 1.1409224271774292, 3.0
Language_21, 3.4499127864837646, 3, 5, 14, 1, 4, 3.4475457668304443, 1.1491819222768147, 4.5
Language_22, 2.323918104171753, 2, 8, 12, 1, 4, 2.3227226734161377, 1.1613613367080688, 8.0
Language_23, 2.2840938568115234, 2, 5, 11, 1, 4, 2.282918930053711, 1.1414594650268555, 5.0
Language_24, 3.470877170562744, 3, 4, 10, 1, 4, 3.4699010848999023, 1.156633694966634, 4.0
Language_25, 1.1450979709625244, 1, 0, 7, 1, 4, 1.1445379257202148, 1.1445379257202148, 0
Language_26, 3.424862861633301, 3, 5, 10, 2, 4, 3.422386646270752, 1.1407955487569172, 4.0
Language_27, 3.471463918685913, 3, 6, 17, 1, 4, 3.4678478240966797, 1.1559492746988933, 5.5
Language_28, 1.1494958400726318, 1, 0, 6, 1, 4, 1.1480090618133545, 1.1480090618133545, 0
Language_29, 2.2932229042053223, 2, 6, 10, 2, 4, 2.291659116744995, 1.1458295583724976, 6.0
Language_30, 2.311539888381958, 2, 4, 10, 1, 4, 2.3092660903930664, 1.1546330451965332, 4.0
Language_31, 2.3342669010162354, 2, 4, 10, 1, 4, 2.333531379699707, 1.1667656898498535, 4.0
Language_32, 3.4941561222076416, 3, 5, 16, 2, 4, 3.4905004501342773, 1.163500150044759, 4.5
Language_33, 3.437880754470825, 3, 5, 10, 1, 4, 3.4362971782684326, 1.1454323927561443, 3.5
Language_34, 3.5078680515289307, 3, 4, 19, 2, 4, 3.5030691623687744, 1.1676897207895915, 3.5
Language_35, 1.1410949230194092, 1, 0, 5, 1, 3, 1.1405460834503174, 1.1405460834503174, 0
Language_36, 2.293455123901367, 2, 2, 10, 2, 4, 2.2912518978118896, 1.1456259489059448, 2.0
Language_37, 2.3300998210906982, 2, 3, 11, 2, 4, 2.32769775390625, 1.163848876953125, 3.0
Language_38, 2.2801411151885986, 2, 3, 9, 2, 4, 2.278923988342285, 1.1394619941711426, 3.0
Language_39, 2.2870230674743652, 2, 2, 10, 2, 4, 2.2855122089385986, 1.1427561044692993, 2.0
Language_40, 1.1347920894622803, 1, 0, 5, 1, 3, 1.1344048976898193, 1.1344048976898193, 0
Language_41, 2.2898640632629395, 2, 4, 8, 2, 4, 2.2889509201049805, 1.1444754600524902, 4.0
Language_42, 3.4225802421569824, 3, 4, 12, 2, 3, 3.4209141731262207, 1.140304724375407, 4.0
Language_43, 2.289216995239258, 2, 5, 12, 1, 4, 2.2871153354644775, 1.1435576677322388, 5.0
Language_44, 2.3233561515808105, 2, 5, 11, 1, 4, 2.321683406829834, 1.160841703414917, 5.0
Language_45, 1.1476585865020752, 1, 0, 7, 1, 4, 1.1472618579864502, 1.1472618579864502, 0
Language_46, 3.472820997238159, 3, 4, 16, 2, 4, 3.469674825668335, 1.1565582752227783, 4.0
Language_47, 3.4413540363311768, 3, 5, 13, 1, 4, 3.4387688636779785, 1.1462562878926594, 4.5
Language_48, 3.4404900074005127, 3, 4, 10, 2, 4, 3.4391050338745117, 1.1463683446248372, 4.0
Language_49, 2.3360960483551025, 2, 5, 14, 1, 4, 2.3337361812591553, 1.1668680906295776, 5.0
Language_50, 2.3169748783111572, 2, 3, 10, 2, 4, 2.3148858547210693, 1.1574429273605347, 3.0
Language_51, 2.3185200691223145, 2, 3, 10, 2, 4, 2.3173468112945557, 1.1586734056472778, 3.0
Language_52, 2.2981722354888916, 2, 3, 11, 2, 4, 2.2966649532318115, 1.1483324766159058, 3.0
Language_53, 2.3098180294036865, 2, 3, 13, 2, 4, 2.307076930999756, 1.153538465499878, 3.0
Language_54, 1.149749994277954, 1, 0, 6, 1, 4, 1.1482789516448975, 1.1482789516448975, 0
Language_55, 2.291689872741699, 2, 3, 11, 1, 4, 2.290609359741211, 1.1453046798706055, 3.0
Language_56, 3.4961063861846924, 3, 7, 16, 2, 4, 3.4927735328674316, 1.1642578442891438, 5.5
Language_57, 1.146711826324463, 1, 0, 6, 1, 4, 1.1459729671478271, 1.1459729671478271, 0
Language_58, 4.641712188720703, 4, 7, 24, 1, 4, 4.6366965770721436, 1.1591741442680359, 4.666666666666667
Language_59, 5.783096075057983, 5, 9, 26, 2, 4, 5.774977922439575, 1.154995584487915, 6.0
Language_60, 2.322335958480835, 2, 4, 14, 2, 4, 2.3208200931549072, 1.1604100465774536, 4.0
Language_61, 2.2760908603668213, 2, 3, 9, 2, 4, 2.2751128673553467, 1.1375564336776733, 3.0
Language_62, 3.501706123352051, 3, 7, 15, 2, 4, 3.498274803161621, 1.1660916010538738, 5.5
Language_63, 2.292790174484253, 2, 4, 11, 1, 4, 2.2907440662384033, 1.1453720331192017, 4.0
Language_64, 1.1400480270385742, 1, 0, 4, 1, 3, 1.139815092086792, 1.139815092086792, 0
Language_65, 1.1476092338562012, 1, 0, 6, 1, 4, 1.146517038345337, 1.146517038345337, 0
Language_66, 2.301055908203125, 2, 9, 12, 1, 4, 2.2991199493408203, 1.1495599746704102, 9.0
Language_67, 2.2912278175354004, 2, 4, 10, 1, 4, 2.2898600101470947, 1.1449300050735474, 4.0
Language_68, 2.28841495513916, 2, 5, 11, 2, 4, 2.2864668369293213, 1.1432334184646606, 5.0
Language_69, 3.506744146347046, 3, 5, 16, 1, 4, 3.5036990642547607, 1.1678996880849202, 4.5
Language_70, 2.296895980834961, 2, 5, 11, 1, 4, 2.295506715774536, 1.147753357887268, 5.0
Language_71, 2.2941231727600098, 2, 6, 9, 1, 3, 2.2926173210144043, 1.1463086605072021, 6.0
Language_72, 1.149092197418213, 1, 0, 7, 1, 4, 1.1487419605255127, 1.1487419605255127, 0
Language_73, 2.281190872192383, 2, 4, 11, 1, 4, 2.280144691467285, 1.1400723457336426, 4.0
Language_74, 2.295642137527466, 2, 3, 9, 1, 4, 2.2938272953033447, 1.1469136476516724, 3.0
Language_75, 4.644290924072266, 4, 7, 19, 1, 4, 4.641226291656494, 1.1603065729141235, 5.0
Language_76, 2.304121732711792, 2, 4, 8, 1, 4, 2.302245855331421, 1.1511229276657104, 4.0
Language_77, 2.299612045288086, 2, 4, 12, 1, 4, 2.2974658012390137, 1.1487329006195068, 4.0
Language_78, 3.4901490211486816, 3, 5, 18, 1, 4, 3.4870100021362305, 1.1623366673787434, 4.5
Language_79, 3.4331541061401367, 3, 4, 14, 1, 4, 3.4308314323425293, 1.1436104774475098, 3.5
Language_80, 2.2963311672210693, 2, 3, 10, 1, 4, 2.2943010330200195, 1.1471505165100098, 3.0
